127.0.0.1 - - [28/Nov/2019:15:26:06 +0800] "GET / HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Nov/2019:15:26:08 +0800] "GET /First/shouyedwnl1/portfolio.html HTTP/1.1" 200 8878
0:0:0:0:0:0:0:1 - - [28/Nov/2019:15:26:08 +0800] "GET /First/shouyedwnl1/style.css HTTP/1.1" 200 49192
0:0:0:0:0:0:0:1 - - [28/Nov/2019:15:26:08 +0800] "GET /First/shouyedwnl1/jquery-2.2.3.min.js HTTP/1.1" 200 85659
0:0:0:0:0:0:0:1 - - [28/Nov/2019:15:26:08 +0800] "GET /First/shouyedwnl1/bootstrap.css HTTP/1.1" 200 141622
0:0:0:0:0:0:0:1 - - [28/Nov/2019:15:26:08 +0800] "GET /First/shouyedwnl1/swipebox.css HTTP/1.1" 200 5208
0:0:0:0:0:0:0:1 - - [28/Nov/2019:15:26:08 +0800] "GET /First/shouyedwnl1/font-awesome.css HTTP/1.1" 200 35128
0:0:0:0:0:0:0:1 - - [28/Nov/2019:15:26:08 +0800] "GET /First/shouyedwnl1/index.css HTTP/1.1" 200 2050
0:0:0:0:0:0:0:1 - - [28/Nov/2019:15:26:08 +0800] "GET /First/shouyedwnl1/jquery.filterizr.js HTTP/1.1" 200 38016
0:0:0:0:0:0:0:1 - - [28/Nov/2019:15:26:08 +0800] "GET /First/shouyedwnl1/controls.js HTTP/1.1" 200 573
