0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:54:03 +0800] "GET /First/js/laydate.js HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:54:04 +0800] "GET /First/js/show_date.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:54:04 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:54:09 +0800] "GET /First/about_leader.html HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:54:31 +0800] "GET /First/logindwn/login1.jsp HTTP/1.1" 200 3679
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:54:31 +0800] "GET /First/images/login-img.png HTTP/1.1" 200 136517
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:54:31 +0800] "GET /First/images/login_logo.png HTTP/1.1" 200 2308
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:54:48 +0800] "GET /First/logindwn/adminlogin.jsp HTTP/1.1" 200 3679
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:04 +0800] "GET /First/Fristpage.jsp HTTP/1.1" 200 4797
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:04 +0800] "GET /First/js/show_date.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:04 +0800] "GET /First/js/laydate.js HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:09 +0800] "GET /First/logindwn/login1.jsp HTTP/1.1" 200 3679
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:09 +0800] "GET /First/images/login-img.png HTTP/1.1" 200 136517
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:09 +0800] "GET /First/images/login_logo.png HTTP/1.1" 200 2308
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:14 +0800] "POST /First/loginverify/studentverify.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:14 +0800] "GET /First/managefirstpage.jsp HTTP/1.1" 200 5452
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:14 +0800] "GET /First/js/jquery1.js HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:14 +0800] "GET /First/images/admin_logo.png HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:14 +0800] "GET /First/CSS/adminStyle.css HTTP/1.1" 200 10323
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:14 +0800] "GET /First/images/bbb_01.jpg HTTP/1.1" 200 960
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:14 +0800] "GET /First/images/bbb_02.jpg HTTP/1.1" 200 826
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:14 +0800] "GET /First/images/bbb_03.jpg HTTP/1.1" 200 854
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:14 +0800] "GET /First/images/bbb_04.jpg HTTP/1.1" 200 896
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:14 +0800] "GET /First/images/.jpg HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:14 +0800] "GET /First/images/2.png HTTP/1.1" 200 17982
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:14 +0800] "GET /First/images/admin_bg.png HTTP/1.1" 200 9890
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:14 +0800] "GET /First/images/1.png HTTP/1.1" 200 17985
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:21 +0800] "GET /First/managefirstpage.jsp HTTP/1.1" 200 5452
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:21 +0800] "GET /First/js/jquery1.js HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:21 +0800] "GET /First/images/.jpg HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:27 +0800] "GET /First/shouye11.jsp HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:38 +0800] "GET /First/Fristpage.jsp HTTP/1.1" 200 4797
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:38 +0800] "GET /First/CSS/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:38 +0800] "GET /First/js/jquery-1.11.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:38 +0800] "GET /First/js/jquery.SuperSlide.2.1.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:38 +0800] "GET /First/js/public.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:38 +0800] "GET /First/js/laydate.js HTTP/1.1" 404 1071
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:38 +0800] "GET /First/js/show_date.js HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:38 +0800] "GET /First/images/icon_notice.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:38 +0800] "GET /First/images/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:38 +0800] "GET /First/images/pic2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:38 +0800] "GET /First/images/icon_leader.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:38 +0800] "GET /First/images/icon_jigou.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:38 +0800] "GET /First/images/icon_people.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:38 +0800] "GET /First/images/icon_order.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:38 +0800] "GET /First/images/slider-arrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:38 +0800] "GET /First/images/icon_alltel.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:38 +0800] "GET /First/images/icon_liucheng.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:38 +0800] "GET /First/images/icon_hottel.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:40 +0800] "GET /First/logindwn/login1.jsp HTTP/1.1" 200 3679
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:49 +0800] "POST /First/loginverify/studentverify.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:49 +0800] "GET /First/managefirstpage.jsp HTTP/1.1" 200 5452
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:49 +0800] "GET /First/js/jquery1.js HTTP/1.1" 404 1071
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:49 +0800] "GET /First/CSS/adminStyle.css HTTP/1.1" 200 10323
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:49 +0800] "GET /First/images/bbb_01.jpg HTTP/1.1" 200 960
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:49 +0800] "GET /First/images/admin_logo.png HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:49 +0800] "GET /First/images/bbb_04.jpg HTTP/1.1" 200 896
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:49 +0800] "GET /First/images/bbb_03.jpg HTTP/1.1" 200 854
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:49 +0800] "GET /First/images/bbb_02.jpg HTTP/1.1" 200 826
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:49 +0800] "GET /First/images/.jpg HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:49 +0800] "GET /First/images/admin_bg.png HTTP/1.1" 200 9890
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:49 +0800] "GET /First/images/2.png HTTP/1.1" 200 17982
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:55:49 +0800] "GET /First/images/1.png HTTP/1.1" 200 17985
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:56:00 +0800] "GET /First/managefirstpage.jsp HTTP/1.1" 200 5452
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:56:00 +0800] "GET /First/js/jquery1.js HTTP/1.1" 404 1071
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:56:00 +0800] "GET /First/images/.jpg HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:56:50 +0800] "GET /twitter-bootstrap/twitter-bootstrap-v2/docs/assets/css/bootstrap.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:56:50 +0800] "GET /First/CSS/bootstrap.css HTTP/1.1" 200 127358
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:56:50 +0800] "GET /First/Js/jquery2.sorted.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:56:50 +0800] "GET /First/CSS/bootstrap-responsive.css HTTP/1.1" 200 22111
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:56:50 +0800] "GET /First/CSS/style.css HTTP/1.1" 200 2400
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:56:50 +0800] "GET /First/Js/ckform.js HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:56:50 +0800] "GET /First/Js/bootstrap.js HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:56:50 +0800] "GET /First/Js/common.js HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:56:50 +0800] "GET /First/Js/jquery2.js HTTP/1.1" 404 1071
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:56:50 +0800] "GET /First/FindServlet HTTP/1.1" 200 823702
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:56:50 +0800] "GET /First/js/bootstrap-tooltip.js HTTP/1.1" 200 9911
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:56:50 +0800] "GET /First/js/jquery.min.js HTTP/1.1" 200 95992
0:0:0:0:0:0:0:1 - - [14/Dec/2019:13:56:50 +0800] "GET /First/js/bootstrap-popover.js HTTP/1.1" 200 3115
0:0:0:0:0:0:0:1 - - [14/Dec/2019:14:00:15 +0800] "GET /First/managefirstpage.jsp HTTP/1.1" 200 5452
0:0:0:0:0:0:0:1 - - [14/Dec/2019:14:00:15 +0800] "GET /First/js/jquery1.js HTTP/1.1" 200 71972
0:0:0:0:0:0:0:1 - - [14/Dec/2019:14:00:15 +0800] "GET /First/images/.jpg HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [14/Dec/2019:14:00:18 +0800] "GET /twitter-bootstrap/twitter-bootstrap-v2/docs/assets/css/bootstrap.css HTTP/1.1" 404 1162
0:0:0:0:0:0:0:1 - - [14/Dec/2019:14:00:18 +0800] "GET /First/CSS/bootstrap.css HTTP/1.1" 200 127358
0:0:0:0:0:0:0:1 - - [14/Dec/2019:14:00:18 +0800] "GET /First/CSS/bootstrap-responsive.css HTTP/1.1" 200 22111
0:0:0:0:0:0:0:1 - - [14/Dec/2019:14:00:18 +0800] "GET /First/CSS/style.css HTTP/1.1" 200 2400
0:0:0:0:0:0:0:1 - - [14/Dec/2019:14:00:18 +0800] "GET /First/Js/jquery2.js HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [14/Dec/2019:14:00:18 +0800] "GET /First/Js/jquery2.sorted.js HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [14/Dec/2019:14:00:18 +0800] "GET /First/Js/bootstrap.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [14/Dec/2019:14:00:18 +0800] "GET /First/Js/ckform.js HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [14/Dec/2019:14:00:18 +0800] "GET /First/Js/common.js HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [14/Dec/2019:14:00:18 +0800] "GET /First/FindServlet HTTP/1.1" 200 823702
0:0:0:0:0:0:0:1 - - [14/Dec/2019:14:00:18 +0800] "GET /First/Js/jquery2.sorted.js HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [14/Dec/2019:14:00:18 +0800] "GET /First/Js/bootstrap.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [14/Dec/2019:14:00:18 +0800] "GET /First/Js/ckform.js HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [14/Dec/2019:14:00:18 +0800] "GET /First/Js/common.js HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [14/Dec/2019:14:00:19 +0800] "GET /First/js/bootstrap-popover.js HTTP/1.1" 200 3115
