127.0.0.1 - - [18/Dec/2019:17:42:47 +0800] "GET / HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Dec/2019:17:42:50 +0800] "GET /First/logindwn/adminlogin.jsp HTTP/1.1" 200 3679
0:0:0:0:0:0:0:1 - - [18/Dec/2019:17:42:50 +0800] "GET /First/images/login-img.png HTTP/1.1" 200 136517
0:0:0:0:0:0:0:1 - - [18/Dec/2019:17:42:50 +0800] "GET /First/images/login_logo.png HTTP/1.1" 200 2308
0:0:0:0:0:0:0:1 - - [18/Dec/2019:17:43:03 +0800] "GET /First/logindwn/adminlogin.jsp HTTP/1.1" 200 3679
0:0:0:0:0:0:0:1 - - [18/Dec/2019:17:43:03 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [18/Dec/2019:17:43:08 +0800] "POST /First/loginverify/adminverify.jsp HTTP/1.1" 200 388
0:0:0:0:0:0:0:1 - - [18/Dec/2019:17:43:10 +0800] "GET /First/logindwn/adminlogin.jsp HTTP/1.1" 200 3679
0:0:0:0:0:0:0:1 - - [18/Dec/2019:17:43:13 +0800] "POST /First/loginverify/adminverify.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Dec/2019:17:43:13 +0800] "GET /First/adminmanagepage.jsp HTTP/1.1" 200 5496
0:0:0:0:0:0:0:1 - - [18/Dec/2019:17:43:13 +0800] "GET /First/images/.jpg HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [18/Dec/2019:17:43:17 +0800] "GET /First/addstudent/addstudentindex.jsp HTTP/1.1" 200 1016
0:0:0:0:0:0:0:1 - - [18/Dec/2019:17:43:21 +0800] "GET /First/studentservlet1 HTTP/1.1" 200 3849
0:0:0:0:0:0:0:1 - - [18/Dec/2019:17:43:21 +0800] "GET /twitter-bootstrap/twitter-bootstrap-v2/docs/assets/css/bootstrap.css HTTP/1.1" 404 1162
0:0:0:0:0:0:0:1 - - [18/Dec/2019:17:43:21 +0800] "GET /First/Js/jquery2.sorted.js HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [18/Dec/2019:17:43:21 +0800] "GET /First/Js/jquery2.js HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [18/Dec/2019:17:43:21 +0800] "GET /First/Js/ckform.js HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [18/Dec/2019:17:43:21 +0800] "GET /First/Js/common.js HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [18/Dec/2019:17:43:21 +0800] "GET /First/Js/bootstrap.js HTTP/1.1" 404 1103
