127.0.0.1 - - [06/Dec/2019:10:25:23 +0800] "GET / HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:25 +0800] "GET /First/shouyedwnl1/showye.jsp HTTP/1.1" 200 8870
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:36 +0800] "GET /First/shouyedwnl1/showye.jsp HTTP/1.1" 200 8870
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:36 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:39 +0800] "GET /First/logindwn/login1.jsp HTTP/1.1" 200 3677
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:44 +0800] "POST /First/loginverify/studentverify.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:44 +0800] "GET /First/managefirstpage.jsp HTTP/1.1" 200 5456
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:44 +0800] "GET /First/images/.jpg HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:48 +0800] "GET /First/Js/jquery2.js HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:48 +0800] "GET /First/Js/jquery2.sorted.js HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:48 +0800] "GET /First/Js/bootstrap.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:48 +0800] "GET /First/Js/ckform.js HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:48 +0800] "GET /First/Js/common.js HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:48 +0800] "GET /twitter-bootstrap/twitter-bootstrap-v2/docs/assets/css/bootstrap.css HTTP/1.1" 404 1162
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:48 +0800] "GET /First/FindServlet HTTP/1.1" 200 823702
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:48 +0800] "GET /First/Js/jquery2.sorted.js HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:48 +0800] "GET /First/Js/bootstrap.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:48 +0800] "GET /First/Js/ckform.js HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:48 +0800] "GET /First/Js/common.js HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:52 +0800] "GET /First/brbookservlet?isbn=0000660734&count=18&bookname=%E6%97%A5%E6%9C%AC%E7%9A%84%E7%A5%9E%E9%81%93 HTTP/1.1" 200 823702
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:52 +0800] "GET /twitter-bootstrap/twitter-bootstrap-v2/docs/assets/css/bootstrap.css HTTP/1.1" 404 1162
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:52 +0800] "GET /First/Js/jquery2.js HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:52 +0800] "GET /First/Js/jquery2.sorted.js HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:52 +0800] "GET /First/Js/bootstrap.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:52 +0800] "GET /First/Js/ckform.js HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:52 +0800] "GET /First/Js/common.js HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:52 +0800] "GET /First/Js/jquery2.sorted.js HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:52 +0800] "GET /First/Js/bootstrap.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:52 +0800] "GET /First/Js/ckform.js HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:52 +0800] "GET /First/Js/common.js HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:54 +0800] "GET /First/brbookservlet?isbn=0000432757&count=16&bookname=%E9%80%83%E9%81%BF%E8%87%AA%E7%94%B1.2%E7%89%88 HTTP/1.1" 200 823702
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:54 +0800] "GET /twitter-bootstrap/twitter-bootstrap-v2/docs/assets/css/bootstrap.css HTTP/1.1" 404 1162
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:54 +0800] "GET /First/Js/jquery2.js HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:54 +0800] "GET /First/Js/bootstrap.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:54 +0800] "GET /First/Js/jquery2.sorted.js HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:54 +0800] "GET /First/Js/ckform.js HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:54 +0800] "GET /First/Js/common.js HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:54 +0800] "GET /First/Js/jquery2.sorted.js HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:54 +0800] "GET /First/Js/bootstrap.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:54 +0800] "GET /First/Js/ckform.js HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:54 +0800] "GET /First/Js/common.js HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:57 +0800] "GET /First/Rebookservletn HTTP/1.1" 200 2856
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:57 +0800] "GET /twitter-bootstrap/twitter-bootstrap-v2/docs/assets/css/bootstrap.css HTTP/1.1" 404 1162
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:57 +0800] "GET /First/Js/jquery2.sorted.js HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:57 +0800] "GET /First/Js/jquery2.js HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:57 +0800] "GET /First/Js/common.js HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:57 +0800] "GET /First/Js/ckform.js HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:57 +0800] "GET /First/Js/bootstrap.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:57 +0800] "GET /First/Js/jquery2.sorted.js HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:57 +0800] "GET /First/Js/bootstrap.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:57 +0800] "GET /First/Js/ckform.js HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:25:57 +0800] "GET /First/Js/common.js HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:26:02 +0800] "GET /First/midrebookservlet?stuid=201701&isbn=0000432757 HTTP/1.1" 200 2202
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:26:02 +0800] "GET /First/Js/jquery2.js HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:26:02 +0800] "GET /First/Js/bootstrap.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:26:02 +0800] "GET /twitter-bootstrap/twitter-bootstrap-v2/docs/assets/css/bootstrap.css HTTP/1.1" 404 1162
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:26:02 +0800] "GET /First/Js/jquery2.sorted.js HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:26:02 +0800] "GET /First/Js/ckform.js HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:26:02 +0800] "GET /First/Js/common.js HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:26:02 +0800] "GET /First/Js/jquery2.sorted.js HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:26:02 +0800] "GET /First/Js/bootstrap.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:26:02 +0800] "GET /First/Js/ckform.js HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:26:02 +0800] "GET /First/Js/common.js HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:26:04 +0800] "GET /First/contiuebrbookservlet?stuid=201701&isbn=0000660734 HTTP/1.1" 200 2202
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:26:04 +0800] "GET /twitter-bootstrap/twitter-bootstrap-v2/docs/assets/css/bootstrap.css HTTP/1.1" 404 1162
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:26:04 +0800] "GET /First/Js/common.js HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:26:04 +0800] "GET /First/Js/jquery2.js HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:26:04 +0800] "GET /First/Js/jquery2.sorted.js HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:26:04 +0800] "GET /First/Js/bootstrap.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:26:04 +0800] "GET /First/Js/ckform.js HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:26:04 +0800] "GET /First/Js/common.js HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:26:06 +0800] "GET /First/FindServlet HTTP/1.1" 200 823702
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:26:06 +0800] "GET /twitter-bootstrap/twitter-bootstrap-v2/docs/assets/css/bootstrap.css HTTP/1.1" 404 1162
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:26:06 +0800] "GET /First/Js/jquery2.js HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:26:06 +0800] "GET /First/Js/jquery2.sorted.js HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:26:06 +0800] "GET /First/Js/bootstrap.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:26:06 +0800] "GET /First/Js/ckform.js HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:26:06 +0800] "GET /First/Js/common.js HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:26:08 +0800] "GET /First/brbookservlet?isbn=0000660734&count=17&bookname=%E6%97%A5%E6%9C%AC%E7%9A%84%E7%A5%9E%E9%81%93 HTTP/1.1" 200 823702
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:26:08 +0800] "GET /First/Js/jquery2.js HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:26:08 +0800] "GET /twitter-bootstrap/twitter-bootstrap-v2/docs/assets/css/bootstrap.css HTTP/1.1" 404 1162
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:26:08 +0800] "GET /First/Js/bootstrap.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:26:08 +0800] "GET /First/Js/jquery2.sorted.js HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:26:08 +0800] "GET /First/Js/ckform.js HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:26:08 +0800] "GET /First/Js/common.js HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [06/Dec/2019:10:26:10 +0800] "GET /First/brbookservlet?isbn=0000732630&count=11&bookname=%E5%85%A8%E6%B3%A8%E5%85%A8%E8%AF%91%E9%9A%8B%E9%87%8A%E5%BD%A6%E7%90%AE%E3%80%8A%E8%BE%A9%E6%AD%A3%E8%AE%BA%E3%80%8B HTTP/1.1" 200 823702
