127.0.0.1 - - [13/Dec/2019:20:00:55 +0800] "GET / HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Dec/2019:20:00:56 +0800] "GET /First/shouye11.jsp HTTP/1.1" 200 11138
0:0:0:0:0:0:0:1 - - [13/Dec/2019:20:00:56 +0800] "GET /First/CSS/bootstrap2.css HTTP/1.1" 200 178152
0:0:0:0:0:0:0:1 - - [13/Dec/2019:20:00:56 +0800] "GET /First/CSS/fontawesome-all2.css HTTP/1.1" 200 44007
0:0:0:0:0:0:0:1 - - [13/Dec/2019:20:00:56 +0800] "GET /First/CSS/style2.css HTTP/1.1" 200 23266
0:0:0:0:0:0:0:1 - - [13/Dec/2019:20:00:56 +0800] "GET /First/CSS/flexslider2.css HTTP/1.1" 200 5001
0:0:0:0:0:0:0:1 - - [13/Dec/2019:20:00:57 +0800] "GET /First/images/banner1.jpg HTTP/1.1" 200 539699
0:0:0:0:0:0:0:1 - - [13/Dec/2019:20:00:57 +0800] "GET /First/js/jquery-2.1.4.min2.js HTTP/1.1" 200 84345
0:0:0:0:0:0:0:1 - - [13/Dec/2019:20:00:57 +0800] "GET /First/js/bootstrap2.js HTTP/1.1" 200 115048
0:0:0:0:0:0:0:1 - - [13/Dec/2019:20:00:57 +0800] "GET /First/js/SmoothScroll.min2.js HTTP/1.1" 200 13797
0:0:0:0:0:0:0:1 - - [13/Dec/2019:20:00:57 +0800] "GET /First/js/move-top2.js HTTP/1.1" 200 1330
0:0:0:0:0:0:0:1 - - [13/Dec/2019:20:00:57 +0800] "GET /First/js/waypoints.min2.js HTTP/1.1" 200 8044
0:0:0:0:0:0:0:1 - - [13/Dec/2019:20:00:57 +0800] "GET /First/js/typed2.js HTTP/1.1" 200 12130
0:0:0:0:0:0:0:1 - - [13/Dec/2019:20:00:57 +0800] "GET /First/js/easing2.js HTTP/1.1" 200 4758
0:0:0:0:0:0:0:1 - - [13/Dec/2019:20:00:57 +0800] "GET /First/js/counterup.min2.js HTTP/1.1" 200 1067
0:0:0:0:0:0:0:1 - - [13/Dec/2019:20:00:57 +0800] "GET /First/js/jquery.flexslider2.js HTTP/1.1" 200 41110
0:0:0:0:0:0:0:1 - - [13/Dec/2019:20:00:57 +0800] "GET /First/webfonts/fa-brands-400.eot? HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [13/Dec/2019:20:00:57 +0800] "GET /First/images/banner.jpg HTTP/1.1" 404 1075
0:0:0:0:0:0:0:1 - - [13/Dec/2019:20:00:57 +0800] "GET /First/images/arr.png HTTP/1.1" 200 680
0:0:0:0:0:0:0:1 - - [13/Dec/2019:20:00:57 +0800] "GET /First/webfonts/fa-brands-400.woff HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [13/Dec/2019:20:00:57 +0800] "GET /First/webfonts/fa-brands-400.ttf HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [13/Dec/2019:20:01:19 +0800] "GET /First/shouye11.jsp HTTP/1.1" 200 11152
0:0:0:0:0:0:0:1 - - [13/Dec/2019:20:01:19 +0800] "GET /First/CSS/bootstrap2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2019:20:01:19 +0800] "GET /First/CSS/style2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2019:20:01:19 +0800] "GET /First/CSS/fontawesome-all2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2019:20:01:19 +0800] "GET /First/CSS/flexslider2.css HTTP/1.1" 304 -
